t,E,j
0.0,-0.7812767186449221,-0.015906538912243598
0.20000000000000018,-0.7802767186449221,-0.014976846634891287
0.40000000000000036,-0.7792767186449221,-0.013946707758067861
0.5845185998977875,-0.7783541256454332,-0.012694818603385736
0.7742187945145362,-0.7793026266185169,-0.011669920025865189
0.9188954738823529,-0.780026010015356,-0.010574288025876356
1.118895473882353,-0.779026010015356,-0.010145818375979353
1.2532723478669183,-0.7783541256454332,-0.009989816841453161
1.4532723478669185,-0.7773541256454332,-0.009817603236939724
1.6532723478669187,-0.7763541256454332,-0.009682159310057151
1.8532723478669189,-0.7753541256454332,-0.009566855303951684
2.053272347866919,-0.7743541256454332,-0.009464827493174503
2.253272347866919,-0.7733541256454332,-0.00937244969319309
2.4532723478669194,-0.7723541256454332,-0.009287530875518481
2.6532723478669196,-0.7713541256454332,-0.00920862883051376
2.8532723478669197,-0.7703541256454332,-0.009134736102942572
3.05327234786692,-0.7693541256454332,-0.009065117655234349
3.25327234786692,-0.7683541256454332,-0.008999219283465166
3.4532723478669203,-0.7673541256454331,-0.008936612420680116
3.608569876292611,-0.7665776380033047,-0.008890050865804043
3.8085698762926112,-0.7655776380033047,-0.008833302696842139
4.008569876292611,-0.7645776380033047,-0.008780381454451208
4.208569876292612,-0.7635776380033047,-0.008730737016616863
4.408569876292612,-0.7625776380033047,-0.008683919535999032
4.608569876292612,-0.7615776380033047,-0.008639554380908795
4.808569876292612,-0.7605776380033047,-0.00859732446339151
5.008569876292612,-0.7595776380033047,-0.008556957441012212
5.2085698762926125,-0.7585776380033047,-0.008518216228609345
5.408569876292613,-0.7575776380033047,-0.008480891814164747
5.608569876292613,-0.7565776380033047,-0.008444797712622526
5.808569876292613,-0.7555776380033047,-0.00840976560482435
6.008569876292613,-0.7545776380033047,-0.008375641846356186
6.208569876292613,-0.7535776380033047,-0.008342284621967042
6.4085698762926135,-0.7525776380033047,-0.008309561582395372
6.608569876292614,-0.7515776380033047,-0.008277347842272777
6.808569876292614,-0.7505776380033047,-0.00824552424668994
7.008569876292614,-0.7495776380033047,-0.008213975834068448
7.208569876292614,-0.7485776380033047,-0.008182590436786126
7.408569876292614,-0.7475776380033047,-0.008151257370223234
7.608569876292615,-0.7465776380033047,-0.008119866166585193
7.808569876292615,-0.7455776380033047,-0.008088305312635534
8.008569876292615,-0.7445776380033047,-0.008056460950633015
8.208569876292614,-0.7435776380033047,-0.008024215499321271
8.408569876292615,-0.7425776380033047,-0.007991446146499596
8.594253398746332,-0.7416492203910361,-0.007960440275920907
8.794253398746331,-0.7406492203910361,-0.007927277434981344
8.994253398746332,-0.7396492203910361,-0.007895181235081804
9.194253398746332,-0.7386492203910361,-0.007864029369654826
9.394253398746333,-0.7376492203910361,-0.007833707403127256
9.594253398746332,-0.7366492203910361,-0.007804107539957432
9.794253398746333,-0.7356492203910361,-0.007775127555183825
9.994253398746332,-0.7346492203910361,-0.007746669853871474
10.194253398746334,-0.7336492203910361,-0.007718640633048393
10.394253398746333,-0.7326492203910361,-0.00769094912439751
10.594253398746334,-0.7316492203910361,-0.007663506899478965
10.794253398746333,-0.7306492203910361,-0.007636227221864203
10.994253398746334,-0.7296492203910361,-0.007609024432452271
11.194253398746334,-0.7286492203910361,-0.007581813355538583
11.394253398746335,-0.7276492203910361,-0.007554508714002869
11.594253398746334,-0.7266492203910361,-0.007527024542327243
11.794253398746335,-0.7256492203910361,-0.007499273586068945
11.994253398746334,-0.7246492203910361,-0.007471166675889948
12.194253398746335,-0.7236492203910361,-0.0074426120632535234
12.394253398746335,-0.7226492203910361,-0.007413514703371536
12.594253398746336,-0.7216492203910361,-0.0073837754688234215
12.794253398746335,-0.7206492203910361,-0.007353290274318394
12.994253398746336,-0.7196492203910361,-0.007321949089122374
13.194253398746335,-0.7186492203910361,-0.007289634808418665
13.394253398746336,-0.7176492203910361,-0.007256221947890991
13.594253398746336,-0.7166492203910361,-0.007221575116506555
13.794253398746337,-0.7156492203910361,-0.0071855472099736795
13.994253398746336,-0.7146492203910361,-0.007147977250407666
14.164443359589063,-0.7137982705868224,-0.007114660394504498
14.364443359589062,-0.7127982705868224,-0.007073915137058962
14.564443359589063,-0.7117982705868224,-0.007031560164517946
14.764443359589063,-0.7107982705868224,-0.006987634052260838
14.964443359589064,-0.7097982705868224,-0.006942185674303096
15.164443359589063,-0.7087982705868224,-0.0068952748179043
15.364443359589064,-0.7077982705868224,-0.006846972668493599
15.564443359589063,-0.7067982705868224,-0.0067973621275352085
15.764443359589064,-0.7057982705868224,-0.00674653792646207
15.964443359589064,-0.7047982705868224,-0.006694606502826883
16.164443359589065,-0.7037982705868224,-0.006641685610706797
16.364443359589064,-0.7027982705868224,-0.0065879036462732285
16.564443359589063,-0.7017982705868224,-0.006533398681115941
16.764443359589066,-0.7007982705868224,-0.006478317209844137
16.964443359589065,-0.6997982705868224,-0.006422812633767141
17.164443359589065,-0.6987982705868224,-0.006367043517867548
17.364443359589064,-0.6977982705868224,-0.0063111716724231675
17.564443359589067,-0.6967982705868224,-0.00625536012210553
17.764443359589066,-0.6957982705868224,-0.0061997710329698
17.964443359589065,-0.6947982705868224,-0.006144563670619746
18.164443359589065,-0.6937982705868224,-0.0060898924606616394
18.364443359589067,-0.6927982705868224,-0.006035905215597874
18.564443359589067,-0.6917982705868224,-0.005982741581325707
18.764443359589066,-0.6907982705868224,-0.005930531742569535
18.964443359589065,-0.6897982705868224,-0.005879395411276051
19.164443359589068,-0.6887982705868224,-0.005829441106648304
19.364443359589067,-0.6877982705868224,-0.005780765721333791
19.44239226274611,-0.6874085260710372,-0.0057621598639131565
19.64239226274611,-0.6864085260710372,-0.00571537407716442
19.84239226274611,-0.6854085260710372,-0.005669836270551116
20.042392262746112,-0.6844085260710372,-0.00562538073552659
20.24239226274611,-0.6834085260710372,-0.005581855324536629
20.44239226274611,-0.6824085260710372,-0.005539118954018069
20.64239226274611,-0.6814085260710372,-0.005497039510132391
