t,E,j
0.0,-1.6910891609064285,-65.92398919653476
0.009999999999998899,-1.6900891609064286,-65.05068699009843
0.020000000000000018,-1.6890891609064285,-64.24079150538888
0.029999999999998916,-1.6880891609064286,-63.484818408363
0.040000000000000036,-1.6870891609064285,-62.775347369425816
0.049999999999998934,-1.6860891609064286,-62.10644111551345
0.06000000000000005,-1.6850891609064285,-61.473258990107084
0.06999999999999895,-1.6840891609064286,-60.871790901849906
0.08000000000000007,-1.6830891609064285,-60.29866877099895
0.08999999999999897,-1.6820891609064286,-59.75102954840271
0.10000000000000009,-1.6810891609064285,-59.22641354576557
0.10999999999999899,-1.6800891609064286,-58.722687547681915
0.1200000000000001,-1.6790891609064285,-58.23798569587148
0.129999999999999,-1.6780891609064286,-57.77066336438548
0.14000000000000012,-1.6770891609064285,-57.319260693464706
0.14999999999999902,-1.6760891609064286,-56.88247341447226
0.16000000000000014,-1.6750891609064285,-56.45912925445823
0.16999999999999904,-1.6740891609064286,-56.04816866375623
0.18000000000000016,-1.6730891609064285,-55.64862893079916
0.19000000000000128,-1.6720891609064283,-55.25963097815922
0.20000000000000018,-1.6710891609064285,-54.88036830083138
0.20999999999999908,-1.6700891609064286,-54.51009763075383
0.2200000000000002,-1.6690891609064284,-54.14813100320103
0.23000000000000131,-1.6680891609064283,-53.793828969738485
0.2400000000000002,-1.6670891609064284,-53.446594754996006
0.2499999999999991,-1.6660891609064286,-53.10586919491218
0.26000000000000023,-1.6650891609064284,-52.77112632541808
0.26999999999999913,-1.6640891609064286,-52.44186951499856
0.28000000000000025,-1.6630891609064284,-52.11762805383295
0.28999999999999915,-1.6620891609064286,-51.79795412748392
0.30000000000000027,-1.6610891609064284,-51.482420115274195
0.3100000000000014,-1.6600891609064283,-51.170616163247615
0.3200000000000003,-1.6590891609064284,-50.86214798946465
0.3299999999999992,-1.6580891609064285,-50.556634885728506
0.3400000000000003,-1.6570891609064284,-50.253707884976045
0.3499999999999992,-1.6560891609064285,-49.953008067731474
0.3600000000000003,-1.6550891609064284,-49.654184984390014
0.37000000000000144,-1.6540891609064283,-49.35689517281347
0.38000000000000034,-1.6530891609064284,-49.060800752888404
0.38999999999999924,-1.6520891609064285,-48.76556808140413
0.40000000000000036,-1.6510891609064284,-48.47086645191537
0.40999999999999925,-1.6500891609064285,-48.176366825211744
0.4200000000000004,-1.6490891609064284,-47.88174057665677
0.42999999999999927,-1.6480891609064285,-47.58665824700503
0.4400000000000004,-1.6470891609064284,-47.2907882833707
0.4500000000000015,-1.6460891609064283,-46.993795756804026
0.4600000000000004,-1.6450891609064284,-46.69534104242867
0.4699999999999993,-1.6440891609064285,-46.395078447282614
0.4800000000000004,-1.6430891609064284,-46.09265476986071
0.4899999999999993,-1.6420891609064285,-45.78770777383539
0.5000000000000004,-1.6410891609064284,-45.47986455647654
0.5099999999999993,-1.6400891609064285,-45.16873978982818
0.5200000000000005,-1.6390891609064284,-44.85393380962889
0.5299999999999994,-1.6380891609064285,-44.535030523160174
0.5400000000000005,-1.6370891609064284,-44.21159510250773
0.5499999999999994,-1.6360891609064285,-43.88317142391614
0.5600000000000005,-1.6350891609064284,-43.54927920673431
0.5700000000000016,-1.6340891609064283,-43.20941079653295
0.5800000000000005,-1.6330891609064284,-42.863027525865064
0.5899999999999994,-1.6320891609064285,-42.509555572222695
0.6000000000000005,-1.6310891609064284,-42.14838121521286
0.6099605062670665,-1.6300931102797218,-41.78032216565384
0.6199605062670654,-1.629093110279722,-41.407033681372525
0.6299605062670666,-1.6280931102797218,-41.03497715980316
0.6399605062670655,-1.627093110279722,-40.66412172763375
0.6499605062670666,-1.6260931102797218,-40.29443677191747
0.6599605062670655,-1.625093110279722,-39.92589193212287
0.6699605062670666,-1.6240931102797218,-39.5584570923444
0.6799605062670655,-1.623093110279722,-39.192102373667005
0.6899605062670666,-1.6220931102797218,-38.82679812667915
0.6999605062670655,-1.621093110279722,-38.46251492412833
0.7099605062670666,-1.6200931102797218,-38.09922355371388
0.7199605062670655,-1.619093110279722,-37.736895011011505
0.7299605062670667,-1.6180931102797218,-37.37550049252454
0.7399605062670656,-1.617093110279722,-37.01501138885685
0.7499605062670667,-1.6160931102797218,-36.65539927800261
0.7599605062670656,-1.615093110279722,-36.29663591874821
0.7699605062670667,-1.6140931102797218,-35.93869324418166
0.7799605062670656,-1.613093110279722,-35.58154335530516
0.7899605062670667,-1.6120931102797218,-35.22515851474654
0.7999605062670656,-1.611093110279722,-34.869511140565194
0.8099605062670667,-1.6100931102797218,-34.5145738001486
0.8199605062670656,-1.609093110279722,-34.16031920419537
0.8299605062670667,-1.6080931102797218,-33.80672020078097
0.8399605062670656,-1.607093110279722,-33.4537497695023
0.8499605062670668,-1.6060931102797218,-33.10138101569743
0.8599605062670657,-1.605093110279722,-32.749587164737
0.8699605062670668,-1.6040931102797218,-32.398341556383514
0.8799605062670657,-1.603093110279722,-32.04761763921538
0.8899605062670668,-1.6020931102797218,-31.697388965112097
0.8999605062670657,-1.601093110279722,-31.347629183797288
0.9099605062670668,-1.6000931102797218,-30.998312037436545
0.9199605062670679,-1.5990931102797217,-30.6494113552866
0.9299605062670668,-1.5980931102797218,-30.300901048392955
0.9399605062670657,-1.597093110279722,-29.95275510433271
0.9499605062670669,-1.5960931102797218,-29.604947581999703
0.9599605062670657,-1.595093110279722,-29.257452606428885
0.9699605062670669,-1.5940931102797218,-28.91024436365708
0.9799605062670658,-1.593093110279722,-28.563297095617074
0.9899605062670669,-1.5920931102797218,-28.216585095062463
0.9999605062670658,-1.591093110279722,-27.870082700520076
1.009960506267067,-1.5900931102797218,-27.52376429126749
1.0199605062670658,-1.5890931102797219,-27.17760428233264
1.029960506267067,-1.5880931102797218,-26.8315771195129
1.0399605062670658,-1.5870931102797219,-26.48565727441092
1.049960506267067,-1.5860931102797218,-26.139819239484375
1.0599605062670658,-1.5850931102797219,-25.794037523107143
1.069960506267067,-1.5840931102797218,-25.448286644638994
1.0799605062670659,-1.5830931102797219,-25.10254112950132
1.089960506267067,-1.5820931102797218,-24.756775504256126
1.0999605062670659,-1.5810931102797219,-24.410964291685673
1.109960506267067,-1.5800931102797218,-24.065082005870053
1.1199605062670681,-1.5790931102797217,-23.71910314726012
1.129960506267067,-1.5780931102797218,-23.37300219774301
1.139960506267066,-1.5770931102797219,-23.02675361569765
1.149960506267067,-1.5760931102797218,-22.68033183103754
1.1599605062670681,-1.5750931102797217,-22.3337112402381
1.169960506267067,-1.5740931102797218,-21.986866201345883
1.179960506267066,-1.5730931102797219,-21.63977102896689
1.189960506267067,-1.5720931102797218,-21.292399989231264
1.199960506267066,-1.5710931102797219,-20.944727294731564
1.209960506267067,-1.5700931102797218,-20.596727099431774
1.219960506267066,-1.5690931102797219,-20.248373493544282
1.229960506267067,-1.5680931102797218,-19.89964049837183
1.239960506267066,-1.5670931102797219,-19.55050206111169
1.2499605062670671,-1.5660931102797218,-19.200932049618885
1.259960506267066,-1.5650931102797219,-18.850904247125676
1.2699605062670671,-1.5640931102797218,-18.50039234691415
1.279960506267066,-1.5630931102797219,-18.149369946938766
1.2899605062670672,-1.5620931102797218,-17.797810544395773
1.299960506267066,-1.5610931102797219,-17.445687530236363
1.3099605062670672,-1.5600931102797218,-17.092974183620086
1.319960506267066,-1.5590931102797219,-16.739643666305277
1.3299605062670672,-1.5580931102797217,-16.38566901697319
1.3328762363146929,-1.5578015372749592,-16.282334385731474
1.3428762363146918,-1.5568015372749593,-15.924011527777504
1.352876236314693,-1.5558015372749592,-15.55826797781596
1.3628762363146918,-1.5548015372749593,-15.185430403609281
1.372876236314693,-1.5538015372749592,-14.805840802329126
1.3828762363146918,-1.5528015372749593,-14.419856126000052
1.392876236314693,-1.5518015372749592,-14.027847824173726
1.4028762363146918,-1.5508015372749593,-13.630201303177431
1.412876236314693,-1.5498015372749592,-13.227315302111723
1.4228762363146918,-1.5488015372749593,-12.819601186651484
1.432876236314693,-1.5478015372749592,-12.407482162619129
1.4428762363146919,-1.5468015372749593,-11.991392412233669
1.452876236314693,-1.5458015372749592,-11.57177615687743
1.4628762363146919,-1.5448015372749593,-11.14908665114704
1.472876236314693,-1.5438015372749592,-10.723785113847239
1.482876236314692,-1.5428015372749593,-10.29633960242788
1.492876236314693,-1.5418015372749592,-9.867223838137217
1.502876236314692,-1.5408015372749593,-9.436915989851805
1.512876236314693,-1.5398015372749592,-9.005897425128948
1.522876236314692,-1.5388015372749593,-8.57465143749848
1.532876236314693,-1.5378015372749592,-8.143661959355184
1.542876236314692,-1.5368015372749593,-7.713412270023755
1.552876236314693,-1.5358015372749592,-7.2843837086389644
1.5628762363146942,-1.534801537274959,-6.857054401413868
1.572876236314693,-1.5338015372749592,-6.431898012659337
1.582876236314692,-1.5328015372749593,-6.009382528574325
1.592876236314693,-1.5318015372749592,-5.58996908235649
1.6028762363146942,-1.530801537274959,-5.174110828597504
1.6128762363146931,-1.5298015372749592,-4.762251874240972
1.622876236314692,-1.5288015372749593,-4.354826272608201
1.6328762363146931,-1.5278015372749592,-3.952257086155724
1.6428762363146943,-1.526801537274959,-3.554955522736254
1.6528762363146932,-1.5258015372749592,-3.1633201492100715
1.6628762363146943,-1.524801537274959,-2.777736185315125
1.6728762363146932,-1.5238015372749592,-2.3985748797691486
1.682876236314692,-1.5228015372749593,-2.0261929696615
1.6928762363146932,-1.5218015372749591,-1.6609322233130075
1.702876236314692,-1.5208015372749593,-1.3031190659495895
1.7128762363146932,-1.5198015372749591,-0.9530642867638095
1.7228762363146921,-1.5188015372749593,-0.6110628252344674
1.7328762363146932,-1.5178015372749591,-0.2773936339461991
1.7428762363146921,-1.5168015372749593,0.04768038539708197
1.7528762363146932,-1.5158015372749591,0.3639123765367036
1.7628762363146921,-1.5148015372749593,0.6710714579556187
1.7728762363146933,-1.5138015372749591,0.968942591360813
1.7828762363146922,-1.5128015372749593,1.2573263940265966
1.7928762363146933,-1.5118015372749591,1.5360388998191543
1.8028762363146922,-1.5108015372749592,1.8049112737975248
1.8128762363146933,-1.5098015372749591,2.0637894852973293
1.8228762363146922,-1.5088015372749592,2.31253394435575
1.8328762363146933,-1.5078015372749591,2.5510191062383814
1.8428762363146922,-1.5068015372749592,2.779133048685676
1.8528762363146933,-1.5058015372749591,2.996777026317017
1.8628762363146922,-1.5048015372749592,3.203865006420208
1.8728762363146934,-1.5038015372749591,3.4003231901198006
1.8828762363146945,-1.502801537274959,3.5860895226653433
1.8928762363146934,-1.5018015372749591,3.7611131963159883
1.8976537913750269,-1.5013237817689258,3.8409274543028005
1.9076537913750258,-1.500323781768926,4.001447587547008
1.917653791375027,-1.4993237817689258,4.15415784586651
1.9276537913750258,-1.4983237817689259,4.2992358608332015
1.937653791375027,-1.4973237817689258,4.436856671087317
1.9476537913750258,-1.4963237817689259,4.567192805018147
1.957653791375027,-1.4953237817689258,4.690414360836398
1.9676537913750258,-1.4943237817689259,4.80668908415232
1.977653791375027,-1.4933237817689258,4.916182443168326
1.9876537913750258,-1.4923237817689259,5.0190577015896745
1.997653791375027,-1.4913237817689258,5.115475989351984
2.007653791375026,-1.4903237817689259,5.2055963712597535
2.017653791375027,-1.4893237817689258,5.289575913625764
2.027653791375026,-1.4883237817689259,5.367569748997182
2.037653791375027,-1.4873237817689258,5.439731139050319
2.047653791375026,-1.4863237817689259,5.506211535732377
2.057653791375027,-1.4853237817689258,5.567160640725076
2.067653791375026,-1.4843237817689259,5.622726463301811
2.077653791375027,-1.4833237817689258,5.673055376646921
2.087653791375026,-1.4823237817689259,5.718292172702727
2.097653791375027,-1.4813237817689258,5.758580115607277
2.107653791375026,-1.4803237817689259,5.794060993783113
2.117653791375027,-1.4793237817689258,5.824875170734911
2.127653791375026,-1.4783237817689259,5.851161634611561
2.137653791375027,-1.4773237817689258,5.8730580465859505
