t,E,j
0.0,-1.3000948846791769,-0.07307440599669071
0.004615522722986043,-1.3003256608153262,-0.05949904085380884
0.02461552272298828,-1.299325660815326,-0.05545371613415214
0.04461552272299052,-1.298325660815326,-0.05332099609490475
0.04809649421046558,-1.2981516122409522,-0.05303844655731943
0.06809649421046338,-1.2971516122409523,-0.05167878082616437
0.08809649421046561,-1.2961516122409522,-0.05056577798523024
0.10809649421046341,-1.2951516122409523,-0.04958519097353178
0.12809649421046565,-1.2941516122409522,-0.04868826298675598
0.14809649421046345,-1.2931516122409523,-0.04784856977544081
0.16809649421046569,-1.2921516122409522,-0.047049666855663086
0.18809649421046348,-1.2911516122409523,-0.046280289080722306
0.20809649421046572,-1.2901516122409522,-0.045532114030180475
0.22809649421046352,-1.2891516122409523,-0.044798577050887134
0.24809649421046576,-1.2881516122409522,-0.04407417299196701
0.26809649421046355,-1.2871516122409523,-0.04335399917930155
0.2880964942104658,-1.2861516122409522,-0.042633417744408646
0.3080964942104636,-1.2851516122409523,-0.04190776627253318
0.3280964942104658,-1.2841516122409522,-0.041172064105260184
0.3480964942104636,-1.2831516122409523,-0.04042066004129107
0.36809649421046586,-1.2821516122409522,-0.039646744592054334
0.3880964942104681,-1.281151612240952,-0.03884159068589126
0.3978831388662263,-1.2806622800081642,-0.03843278427161103
0.4178831388662241,-1.2796622800081643,-0.03757267111035902
0.4378831388662263,-1.2786622800081642,-0.03668922125451057
0.4578831388662241,-1.2776622800081643,-0.03578748616281916
0.47788313886622635,-1.2766622800081642,-0.03487368721828106
0.49788313886622415,-1.2756622800081643,-0.033954893766276244
0.5178831388662264,-1.2746622800081642,-0.03303854496728748
0.5378831388662242,-1.2736622800081643,-0.03213189824451429
0.5578831388662264,-1.2726622800081642,-0.03124151416664892
0.5778831388662242,-1.2716622800081643,-0.030372873996576892
0.5978831388662265,-1.2706622800081642,-0.029530179741631298
0.6178831388662243,-1.2696622800081643,-0.028716332225420416
0.6378831388662265,-1.2686622800081642,-0.027933043999355426
0.6578831388662243,-1.2676622800081643,-0.02718102997176104
0.6699364917683548,-1.2670596123630578,-0.02674291756693016
0.6899364917683526,-1.2660596123630579,-0.02603043794470419
0.7099364917683548,-1.2650596123630578,-0.02532791720013965
0.7299364917683526,-1.2640596123630579,-0.024634954578494166
0.7499364917683549,-1.2630596123630577,-0.02395117612523589
0.7699364917683527,-1.2620596123630579,-0.023276232239591434
0.7899364917683549,-1.2610596123630577,-0.022609795508113574
0.8099364917683527,-1.2600596123630579,-0.021951558780054194
0.8299364917683549,-1.2590596123630577,-0.02130123345234337
0.8499364917683527,-1.2580596123630579,-0.02065854793692415
0.869936491768355,-1.2570596123630577,-0.02002324628728342
0.8899364917683528,-1.2560596123630579,-0.01939508696441797
0.909936491768355,-1.2550596123630577,-0.01877384172531011
0.9299364917683528,-1.2540596123630579,-0.018159294619363525
0.949936491768355,-1.2530596123630577,-0.017551241080249438
0.9699364917683528,-1.2520596123630579,-0.016949487102301788
0.9899364917683551,-1.2510596123630577,-0.016353848492032256
1.0099364917683529,-1.2500596123630578,-0.015764150186554117
1.0299364917683551,-1.2490596123630577,-0.015180225631744336
